Date;Price;Open;High;Low
21/08/2019;1.1085;1.1100;1.1109;1.1081
20/08/2019;1.1100;1.1079;1.1107;1.1065
19/08/2019;1.1078;1.1092;1.1115;1.1076
16/08/2019;1.1090;1.1106;1.1113;1.1066
15/08/2019;1.1107;1.1138;1.1159;1.1090
14/08/2019;1.1139;1.1170;1.1191;1.1130
13/08/2019;1.1171;1.1214;1.1229;1.1171
12/08/2019;1.1214;1.1204;1.1232;1.1162
09/08/2019;1.1200;1.1181;1.1224;1.1180
08/08/2019;1.1180;1.1199;1.1233;1.1177
07/08/2019;1.1199;1.1199;1.1243;1.1180
06/08/2019;1.1200;1.1203;1.1251;1.1168
05/08/2019;1.1202;1.1101;1.1213;1.1101
02/08/2019;1.1109;1.1087;1.1118;1.1070
01/08/2019;1.1085;1.1076;1.1097;1.1027
31/07/2019;1.1076;1.1155;1.1163;1.1059
30/07/2019;1.1155;1.1144;1.1162;1.1132
29/07/2019;1.1144;1.1126;1.1151;1.1112
26/07/2019;1.1127;1.1147;1.1152;1.1112
25/07/2019;1.1147;1.1142;1.1189;1.1102
24/07/2019;1.1141;1.1152;1.1160;1.1127
23/07/2019;1.1153;1.1210;1.1211;1.1146
22/07/2019;1.1210;1.1218;1.1227;1.1206
19/07/2019;1.1222;1.1277;1.1283;1.1204
18/07/2019;1.1277;1.1224;1.1282;1.1205
17/07/2019;1.1224;1.1210;1.1234;1.1199
16/07/2019;1.1211;1.1258;1.1265;1.1202
15/07/2019;1.1258;1.1268;1.1285;1.1252
12/07/2019;1.1271;1.1254;1.1277;1.1238
11/07/2019;1.1254;1.1251;1.1287;1.1245
10/07/2019;1.1251;1.1208;1.1265;1.1202
09/07/2019;1.1208;1.1215;1.1221;1.1194
08/07/2019;1.1215;1.1221;1.1235;1.1205
05/07/2019;1.1226;1.1285;1.1289;1.1207
04/07/2019;1.1285;1.1277;1.1296;1.1272
03/07/2019;1.1278;1.1284;1.1311;1.1268
02/07/2019;1.1285;1.1286;1.1321;1.1275
01/07/2019;1.1285;1.1375;1.1375;1.1280
28/06/2019;1.1370;1.1371;1.1395;1.1351
27/06/2019;1.1370;1.1369;1.1383;1.1348
26/06/2019;1.1369;1.1365;1.1392;1.1347
25/06/2019;1.1367;1.1400;1.1414;1.1344
24/06/2019;1.1398;1.1361;1.1405;1.1361
21/06/2019;1.1368;1.1292;1.1379;1.1283
20/06/2019;1.1292;1.1225;1.1318;1.1225
19/06/2019;1.1226;1.1193;1.1254;1.1187
18/06/2019;1.1193;1.1219;1.1244;1.1181
17/06/2019;1.1218;1.1215;1.1247;1.1203
14/06/2019;1.1209;1.1282;1.1291;1.1202
13/06/2019;1.1277;1.1287;1.1305;1.1268
12/06/2019;1.1289;1.1326;1.1345;1.1282
11/06/2019;1.1332;1.1313;1.1340;1.1302
10/06/2019;1.1315;1.1324;1.1333;1.1291
07/06/2019;1.1333;1.1276;1.1349;1.1251
06/06/2019;1.1276;1.1229;1.1310;1.1214
05/06/2019;1.1221;1.1251;1.1308;1.1219
04/06/2019;1.1252;1.1241;1.1278;1.1226
03/06/2019;1.1241;1.1168;1.1263;1.1155
31/05/2019;1.1169;1.1134;1.1181;1.1125
30/05/2019;1.1131;1.1130;1.1144;1.1115
29/05/2019;1.1131;1.1162;1.1175;1.1124
28/05/2019;1.1160;1.1198;1.1202;1.1158
27/05/2019;1.1199;1.1197;1.1218;1.1186
24/05/2019;1.1204;1.1183;1.1215;1.1175
23/05/2019;1.1180;1.1150;1.1187;1.1106
22/05/2019;1.1153;1.1166;1.1180;1.1145
21/05/2019;1.1160;1.1171;1.1189;1.1142
20/05/2019;1.1171;1.1158;1.1177;1.1148
17/05/2019;1.1158;1.1176;1.1186;1.1155
16/05/2019;1.1174;1.1202;1.1227;1.1166
15/05/2019;1.1202;1.1205;1.1226;1.1177
14/05/2019;1.1204;1.1224;1.1247;1.1200
13/05/2019;1.1224;1.1241;1.1266;1.1221
10/05/2019;1.1235;1.1215;1.1255;1.1214
09/05/2019;1.1222;1.1194;1.1254;1.1174
08/05/2019;1.1192;1.1189;1.1215;1.1181
07/05/2019;1.1191;1.1198;1.1222;1.1165
06/05/2019;1.1200;1.1173;1.1212;1.1160
03/05/2019;1.1202;1.1178;1.1208;1.1135
02/05/2019;1.1179;1.1202;1.1221;1.1172
01/05/2019;1.1196;1.1215;1.1267;1.1188
30/04/2019;1.1217;1.1185;1.1232;1.1176
29/04/2019;1.1186;1.1153;1.1191;1.1140
26/04/2019;1.1149;1.1130;1.1175;1.1111
25/04/2019;1.1132;1.1160;1.1164;1.1118
24/04/2019;1.1154;1.1229;1.1233;1.1141
23/04/2019;1.1227;1.1259;1.1264;1.1192
22/04/2019;1.1258;1.1246;1.1265;1.1237
19/04/2019;1.1248;1.1240;1.1255;1.1229
18/04/2019;1.1231;1.1297;1.1307;1.1226
17/04/2019;1.1297;1.1282;1.1326;1.1280
16/04/2019;1.1281;1.1304;1.1315;1.1279
15/04/2019;1.1309;1.1300;1.1323;1.1296
12/04/2019;1.1302;1.1255;1.1327;1.1253
11/04/2019;1.1253;1.1274;1.1293;1.1249
10/04/2019;1.1274;1.1261;1.1286;1.1228
09/04/2019;1.1263;1.1272;1.1287;1.1255
08/04/2019;1.1261;1.1218;1.1277;1.1213
05/04/2019;1.1216;1.1223;1.1246;1.1210
04/04/2019;1.1221;1.1233;1.1249;1.1205
03/04/2019;1.1235;1.1204;1.1256;1.1200
02/04/2019;1.1204;1.1217;1.1220;1.1183
01/04/2019;1.1213;1.1217;1.1250;1.1202
29/03/2019;1.1218;1.1220;1.1248;1.1208
28/03/2019;1.1222;1.1244;1.1264;1.1214
27/03/2019;1.1247;1.1266;1.1286;1.1240
26/03/2019;1.1266;1.1313;1.1329;1.1263
25/03/2019;1.1313;1.1294;1.1334;1.1284
22/03/2019;1.1314;1.1376;1.1393;1.1272
21/03/2019;1.1375;1.1413;1.1440;1.1342
20/03/2019;1.1414;1.1352;1.1450;1.1336
19/03/2019;1.1352;1.1338;1.1364;1.1334
18/03/2019;1.1337;1.1322;1.1360;1.1316
15/03/2019;1.1325;1.1304;1.1345;1.1295
14/03/2019;1.1304;1.1330;1.1343;1.1294
13/03/2019;1.1327;1.1288;1.1341;1.1277
12/03/2019;1.1288;1.1249;1.1309;1.1244
11/03/2019;1.1249;1.1240;1.1260;1.1222
08/03/2019;1.1240;1.1194;1.1248;1.1185
07/03/2019;1.1194;1.1306;1.1322;1.1176
06/03/2019;1.1307;1.1313;1.1328;1.1286
05/03/2019;1.1308;1.1339;1.1353;1.1290
04/03/2019;1.1340;1.1380;1.1398;1.1309
01/03/2019;1.1377;1.1372;1.1410;1.1353
28/02/2019;1.1371;1.1371;1.1421;1.1357
27/02/2019;1.1369;1.1396;1.1404;1.1360
26/02/2019;1.1387;1.1366;1.1404;1.1343
25/02/2019;1.1359;1.1338;1.1369;1.1323
22/02/2019;1.1343;1.1337;1.1360;1.1315
21/02/2019;1.1336;1.1338;1.1368;1.1320
20/02/2019;1.1337;1.1342;1.1374;1.1324
19/02/2019;1.1341;1.1310;1.1358;1.1274
18/02/2019;1.1311;1.1288;1.1337;1.1284
15/02/2019;1.1295;1.1295;1.1313;1.1233
14/02/2019;1.1301;1.1262;1.1313;1.1247
13/02/2019;1.1267;1.1326;1.1346;1.1260
12/02/2019;1.1325;1.1280;1.1342;1.1256
11/02/2019;1.1276;1.1328;1.1331;1.1264
08/02/2019;1.1330;1.1346;1.1355;1.1320
07/02/2019;1.1341;1.1360;1.1375;1.1322
06/02/2019;1.1362;1.1406;1.1420;1.1359
05/02/2019;1.1415;1.1442;1.1456;1.1400
04/02/2019;1.1438;1.1457;1.1467;1.1421
01/02/2019;1.1456;1.1447;1.1490;1.1433
31/01/2019;1.1446;1.1480;1.1517;1.1434
30/01/2019;1.1479;1.1433;1.1503;1.1404
29/01/2019;1.1432;1.1428;1.1453;1.1410
28/01/2019;1.1434;1.1404;1.1445;1.1388
25/01/2019;1.1415;1.1306;1.1421;1.1298
24/01/2019;1.1306;1.1380;1.1398;1.1287
23/01/2019;1.1381;1.1358;1.1397;1.1348
22/01/2019;1.1359;1.1365;1.1386;1.1334
21/01/2019;1.1366;1.1371;1.1409;1.1355
18/01/2019;1.1363;1.1389;1.1413;1.1352
17/01/2019;1.1398;1.1396;1.1410;1.1369
16/01/2019;1.1400;1.1414;1.1429;1.1377
15/01/2019;1.1417;1.1473;1.1494;1.1381
14/01/2019;1.1477;1.1471;1.1485;1.1440
11/01/2019;1.1469;1.1499;1.1542;1.1457
10/01/2019;1.1500;1.1542;1.1572;1.1485
09/01/2019;1.1543;1.1444;1.1556;1.1435
08/01/2019;1.1442;1.1476;1.1487;1.1422
07/01/2019;1.1476;1.1392;1.1485;1.1392
04/01/2019;1.1395;1.1393;1.1422;1.1345
03/01/2019;1.1394;1.1345;1.1413;1.1309
02/01/2019;1.1343;1.1464;1.1499;1.1325
01/01/2019;1.1464;1.1466;1.1481;1.1425
31/12/2018;1.1470;1.1443;1.1470;1.1421
28/12/2018;1.1438;1.1429;1.1478;1.1424
27/12/2018;1.1430;1.1353;1.1457;1.1349
26/12/2018;1.1353;1.1363;1.1423;1.1342
25/12/2018;1.1362;1.1400;1.1429;1.1361
24/12/2018;1.1400;1.1370;1.1439;1.1350
21/12/2018;1.1369;1.1447;1.1477;1.1353
20/12/2018;1.1446;1.1377;1.1487;1.1371
19/12/2018;1.1377;1.1361;1.1442;1.1360
18/12/2018;1.1361;1.1346;1.1402;1.1336
17/12/2018;1.1347;1.1308;1.1360;1.1299
14/12/2018;1.1309;1.1362;1.1374;1.1268
13/12/2018;1.1363;1.1369;1.1396;1.1330
12/12/2018;1.1368;1.1317;1.1388;1.1312
11/12/2018;1.1316;1.1361;1.1402;1.1304
10/12/2018;1.1356;1.1401;1.1444;1.1349
07/12/2018;1.1378;1.1377;1.1425;1.1359
06/12/2018;1.1376;1.1345;1.1414;1.1321
05/12/2018;1.1344;1.1342;1.1361;1.1309
04/12/2018;1.1345;1.1354;1.1421;1.1318
03/12/2018;1.1354;1.1315;1.1382;1.1315
30/11/2018;1.1317;1.1395;1.1402;1.1304
29/11/2018;1.1393;1.1367;1.1403;1.1348
28/11/2018;1.1366;1.1291;1.1387;1.1264
27/11/2018;1.1288;1.1326;1.1344;1.1276
26/11/2018;1.1328;1.1343;1.1385;1.1323
23/11/2018;1.1341;1.1403;1.1422;1.1325
22/11/2018;1.1408;1.1382;1.1434;1.1378
21/11/2018;1.1385;1.1371;1.1426;1.1363
20/11/2018;1.1371;1.1453;1.1473;1.1357
19/11/2018;1.1453;1.1403;1.1467;1.1393
16/11/2018;1.1420;1.1330;1.1423;1.1320
15/11/2018;1.1328;1.1309;1.1364;1.1271
14/11/2018;1.1310;1.1290;1.1349;1.1262
13/11/2018;1.1291;1.1219;1.1296;1.1216
12/11/2018;1.1218;1.1331;1.1333;1.1214
09/11/2018;1.1336;1.1364;1.1371;1.1315
08/11/2018;1.1363;1.1425;1.1448;1.1352
07/11/2018;1.1426;1.1427;1.1502;1.1395
06/11/2018;1.1427;1.1406;1.1440;1.1389
05/11/2018;1.1407;1.1391;1.1425;1.1356
02/11/2018;1.1387;1.1408;1.1458;1.1372
01/11/2018;1.1409;1.1311;1.1426;1.1306
31/10/2018;1.1312;1.1345;1.1363;1.1301
30/10/2018;1.1344;1.1372;1.1387;1.1338
29/10/2018;1.1373;1.1408;1.1418;1.1361
26/10/2018;1.1403;1.1376;1.1422;1.1334
25/10/2018;1.1376;1.1392;1.1434;1.1355
24/10/2018;1.1392;1.1470;1.1477;1.1378
23/10/2018;1.1471;1.1466;1.1495;1.1438
22/10/2018;1.1465;1.1507;1.1552;1.1455
19/10/2018;1.1515;1.1451;1.1536;1.1433
18/10/2018;1.1453;1.1500;1.1528;1.1448
17/10/2018;1.1501;1.1575;1.1585;1.1495
16/10/2018;1.1575;1.1580;1.1623;1.1564
15/10/2018;1.1579;1.1559;1.1608;1.1537
12/10/2018;1.1563;1.1592;1.1611;1.1534
11/10/2018;1.1594;1.1519;1.1600;1.1517
10/10/2018;1.1520;1.1491;1.1547;1.1479
09/10/2018;1.1490;1.1491;1.1504;1.1430
08/10/2018;1.1492;1.1520;1.1536;1.1459
05/10/2018;1.1524;1.1513;1.1550;1.1483
04/10/2018;1.1515;1.1478;1.1543;1.1464
03/10/2018;1.1478;1.1548;1.1595;1.1465
02/10/2018;1.1548;1.1578;1.1582;1.1506
01/10/2018;1.1578;1.1609;1.1630;1.1563
28/09/2018;1.1609;1.1641;1.1652;1.1567
27/09/2018;1.1641;1.1740;1.1759;1.1637
26/09/2018;1.1740;1.1767;1.1799;1.1726
25/09/2018;1.1772;1.1748;1.1793;1.1730
24/09/2018;1.1748;1.1751;1.1817;1.1723
21/09/2018;1.1750;1.1776;1.1804;1.1731
20/09/2018;1.1777;1.1671;1.1786;1.1665
19/09/2018;1.1673;1.1667;1.1716;1.1648
18/09/2018;1.1667;1.1684;1.1726;1.1651
17/09/2018;1.1683;1.1623;1.1699;1.1617
14/09/2018;1.1630;1.1690;1.1724;1.1619
13/09/2018;1.1690;1.1627;1.1703;1.1608
12/09/2018;1.1626;1.1604;1.1651;1.1570
11/09/2018;1.1607;1.1594;1.1645;1.1565
10/09/2018;1.1594;1.1560;1.1617;1.1526
07/09/2018;1.1553;1.1624;1.1651;1.1550
06/09/2018;1.1622;1.1629;1.1660;1.1603
05/09/2018;1.1629;1.1581;1.1640;1.1542
04/09/2018;1.1582;1.1623;1.1629;1.1528
03/09/2018;1.1624;1.1596;1.1629;1.1583
31/08/2018;1.1601;1.1671;1.1692;1.1585
30/08/2018;1.1671;1.1707;1.1720;1.1641
29/08/2018;1.1708;1.1695;1.1712;1.1652
28/08/2018;1.1695;1.1678;1.1735;1.1662
27/08/2018;1.1678;1.1631;1.1694;1.1592
24/08/2018;1.1623;1.1540;1.1641;1.1533
23/08/2018;1.1539;1.1596;1.1601;1.1530
22/08/2018;1.1597;1.1570;1.1624;1.1551
21/08/2018;1.1571;1.1482;1.1602;1.1479
20/08/2018;1.1481;1.1442;1.1486;1.1394
17/08/2018;1.1439;1.1377;1.1447;1.1365
16/08/2018;1.1377;1.1345;1.1411;1.1335
15/08/2018;1.1345;1.1344;1.1357;1.1299
14/08/2018;1.1344;1.1410;1.1431;1.1330
13/08/2018;1.1409;1.1389;1.1434;1.1364
10/08/2018;1.1411;1.1526;1.1537;1.1384
09/08/2018;1.1527;1.1609;1.1620;1.1525
08/08/2018;1.1611;1.1598;1.1629;1.1571
07/08/2018;1.1599;1.1555;1.1610;1.1547
06/08/2018;1.1554;1.1571;1.1574;1.1527
03/08/2018;1.1567;1.1583;1.1611;1.1559
02/08/2018;1.1584;1.1660;1.1669;1.1582
01/08/2018;1.1660;1.1691;1.1701;1.1656
31/07/2018;1.1691;1.1706;1.1745;1.1682
30/07/2018;1.1706;1.1660;1.1721;1.1648
27/07/2018;1.1658;1.1643;1.1665;1.1621
26/07/2018;1.1643;1.1728;1.1744;1.1639
25/07/2018;1.1728;1.1684;1.1739;1.1663
24/07/2018;1.1686;1.1692;1.1719;1.1654
23/07/2018;1.1692;1.1730;1.1752;1.1682
20/07/2018;1.1720;1.1644;1.1740;1.1626
19/07/2018;1.1643;1.1639;1.1680;1.1574
18/07/2018;1.1639;1.1660;1.1665;1.1601
17/07/2018;1.1661;1.1711;1.1746;1.1650
16/07/2018;1.1710;1.1676;1.1726;1.1674
13/07/2018;1.1685;1.1669;1.1688;1.1610
12/07/2018;1.1672;1.1674;1.1697;1.1648
11/07/2018;1.1674;1.1745;1.1760;1.1665
10/07/2018;1.1744;1.1751;1.1764;1.1690
09/07/2018;1.1751;1.1748;1.1792;1.1731
06/07/2018;1.1747;1.1690;1.1769;1.1679
05/07/2018;1.1691;1.1655;1.1722;1.1649
04/07/2018;1.1656;1.1658;1.1684;1.1629
03/07/2018;1.1657;1.1641;1.1675;1.1621
02/07/2018;1.1641;1.1651;1.1699;1.1590
29/06/2018;1.1685;1.1569;1.1692;1.1558
28/06/2018;1.1569;1.1555;1.1602;1.1527
27/06/2018;1.1554;1.1647;1.1674;1.1541
26/06/2018;1.1647;1.1704;1.1722;1.1635
25/06/2018;1.1704;1.1659;1.1715;1.1627
22/06/2018;1.1657;1.1604;1.1677;1.1600
21/06/2018;1.1603;1.1572;1.1635;1.1509
20/06/2018;1.1572;1.1590;1.1602;1.1537
19/06/2018;1.1590;1.1624;1.1646;1.1530
18/06/2018;1.1623;1.1609;1.1625;1.1563
15/06/2018;1.1609;1.1568;1.1629;1.1543
14/06/2018;1.1569;1.1791;1.1853;1.1562
13/06/2018;1.1791;1.1745;1.1803;1.1725
12/06/2018;1.1745;1.1784;1.1811;1.1733
11/06/2018;1.1784;1.1766;1.1822;1.1754
08/06/2018;1.1768;1.1800;1.1812;1.1726
07/06/2018;1.1799;1.1774;1.1842;1.1772
06/06/2018;1.1773;1.1717;1.1797;1.1708
05/06/2018;1.1718;1.1698;1.1733;1.1652
04/06/2018;1.1699;1.1656;1.1744;1.1652
01/06/2018;1.1661;1.1691;1.1718;1.1617
31/05/2018;1.1692;1.1665;1.1726;1.1641
30/05/2018;1.1663;1.1540;1.1678;1.1518
29/05/2018;1.1540;1.1625;1.1641;1.1508
28/05/2018;1.1623;1.1651;1.1729;1.1605
25/05/2018;1.1652;1.1720;1.1735;1.1645
24/05/2018;1.1720;1.1695;1.1750;1.1688
23/05/2018;1.1697;1.1778;1.1790;1.1675
22/05/2018;1.1779;1.1792;1.1830;1.1754
21/05/2018;1.1791;1.1764;1.1797;1.1717
18/05/2018;1.1778;1.1796;1.1825;1.1749
17/05/2018;1.1795;1.1808;1.1839;1.1775
16/05/2018;1.1807;1.1837;1.1854;1.1762
15/05/2018;1.1838;1.1925;1.1939;1.1817
14/05/2018;1.1927;1.1947;1.1998;1.1926
11/05/2018;1.1944;1.1917;1.1970;1.1891
10/05/2018;1.1915;1.1852;1.1948;1.1843
09/05/2018;1.1850;1.1863;1.1898;1.1822
08/05/2018;1.1864;1.1924;1.1941;1.1838
07/05/2018;1.1922;1.1953;1.1980;1.1898
04/05/2018;1.1960;1.1989;1.1997;1.1911
03/05/2018;1.1988;1.1951;1.2009;1.1946
02/05/2018;1.1951;1.1992;1.2033;1.1938
01/05/2018;1.1993;1.2076;1.2086;1.1981
30/04/2018;1.2079;1.2125;1.2141;1.2064
27/04/2018;1.2130;1.2105;1.2135;1.2055
26/04/2018;1.2103;1.2161;1.2211;1.2096
25/04/2018;1.2161;1.2232;1.2240;1.2160
24/04/2018;1.2232;1.2209;1.2247;1.2182
23/04/2018;1.2209;1.2289;1.2292;1.2198
20/04/2018;1.2288;1.2346;1.2354;1.2250
19/04/2018;1.2346;1.2373;1.2402;1.2329
18/04/2018;1.2373;1.2369;1.2398;1.2343
17/04/2018;1.2370;1.2378;1.2413;1.2335
16/04/2018;1.2380;1.2330;1.2395;1.2325
13/04/2018;1.2331;1.2327;1.2348;1.2307
12/04/2018;1.2327;1.2368;1.2382;1.2300
11/04/2018;1.2367;1.2357;1.2397;1.2347
10/04/2018;1.2356;1.2320;1.2379;1.2303
09/04/2018;1.2321;1.2279;1.2331;1.2261
06/04/2018;1.2283;1.2240;1.2292;1.2214
05/04/2018;1.2240;1.2278;1.2292;1.2218
04/04/2018;1.2278;1.2269;1.2315;1.2256
03/04/2018;1.2270;1.2304;1.2336;1.2253
02/04/2018;1.2302;1.2323;1.2346;1.2282
30/03/2018;1.2323;1.2301;1.2331;1.2293
29/03/2018;1.2302;1.2308;1.2335;1.2282
28/03/2018;1.2308;1.2403;1.2424;1.2300
27/03/2018;1.2403;1.2444;1.2478;1.2373
26/03/2018;1.2443;1.2348;1.2463;1.2341
23/03/2018;1.2353;1.2302;1.2375;1.2301
22/03/2018;1.2302;1.2337;1.2389;1.2285
21/03/2018;1.2338;1.2242;1.2351;1.2241
